company,description,experience,location,salary,technologies,title
Roosh,"<div class=""b-typo vacancy-section"">
				<p>Hello, future Rooshmate.</p><p>At <strong>Roosh Investment Group</strong> we back founders, funders, and forward-thinkers to grow businesses and co-create the technologies that will enrich the world. </p><p>Roosh invests in companies focused on capitalization (by Roosh Ventures firm) and profitability (by Roosh X). We’re a dedicated team of investors, entrepreneurs and operators. With over 10 years of expertise, we act as partners in growing businesses rather than mere financial backers.</p><p>Besides, Roosh’s portfolio includes such companies as a deep-tech company Zibra AI, an R&amp;D company Neurons Lab, a multi-product company Reface, the Roosh Circle and AI HOUSE tech communities, and others.</p><p>We are looking for <strong>Full Stack Engineer</strong> who will develop a platform from scratch and be fully responsible for it. We need a person, who can react and implement the changes in rapid startup environment. Our engineering team consists of highly skilled professionals. Join us building new AI solution from scratch working together with ML team.</p><p><strong>You will:</strong></p><ul><li>participate in decisions regarding application architecture and database design,</li><li>take responsibility for the development of the backend and frontend in collaboration with the ML team,</li><li>improve the existing processes, and architecture, enhance logging, alerting, technical stack,</li><li>work allocation of around 60% on the Back End and 40% on the Front End,</li><li>preparing ideas for product development.</li></ul><p><strong>About you:</strong></p><ul><li>3+ years of relevant Full Stack experience,</li><li>experience of the web development,</li><li>experience with AWS(S3, SQS, DocumentDB, EC2, ECS, Lambda),</li><li>experience with Node.js, TypeScript and frameworks: Nest.js, Fastify, Express,</li><li>experience with Frontend frameworks and libraries: React, Next.js,</li><li>experience with NoSQL DBs(MongoDB/CosmosDB/Redis),</li><li>experience with RBDMS(Postgres/MySQL),</li><li>experience with containers(Docker, Container services like ECS, Kubernetes),</li><li>experience with analytics services integration,</li><li>experience with CI/CD.</li></ul><p><strong>As a Rooshmate, you will have:<br></strong>— The coolest team ever<br>You will join striving and open-minded professionals to share ideas and shape the future.<br>— Time-off policy to take your time<br>Twenty-one days of vacation, long and short-term sick leaves, compensatory days off, maternity and paternity leaves, and more — everything for you to make up your life according to your needs.<br>— Medical insurance<br>Perfectly packed health care covering dental.<br>— Boosting your expertise<br>We’re interested in accelerating your growth — hence we compensate for your professional development courses and conferences. You will get access to all Roosh educational or business activities, where we engage top-notch experts from diverse areas to master hard and soft skills. <br>— Financial support in various life circumstances<br>We will support you in joy and sorrow of this unpredictable life.</p><p><br><strong>How’s the hiring process going?</strong></p><p>Our hiring process is designed to ensure that we are a perfect match. So be ready to come across:<br>— interview with Recruiter: we’ll talk about Roosh and answer all your questions,<br>— tech interview: we want to see how you think, bring ideas, and work with info. Then we’ll give you feedback,<br>— call with your future Manager: we’ll discuss the role and the project in detail,<br>— reference check: during the process, we’ll contact your previous workplaces to hear something even more exciting about you.</p><p>Still not sure whether to go for Roosh or not? Check our values to resonate with yours first <a href=""https://marvelous-boursin-f86.notion.site/Roosh-Values-f1471f14133446e5a1c1477d66bd14b6"" target=""_blank"">here</a>. Anyway, thanks for your interest.</p><p>We’ll review your CV and everything you have sent us within five working days. If your background meets our needs — we’ll set up a call to get to know each other better. Otherwise, we aren’t quite ready to get along with you at this moment. But no worries — our journey has just started, and we’d love to stay in touch as our team grows and more opportunities emerge. We wish you the best of luck with your aspiration.</p>
			</div>",1-3,віддалено,,"mongodb,redis,docker,nosql,react,aws,kubernetes,ci/cd,mysql",Full Stack Engineer (Roosh)
Inoxoft,"<div class=""b-typo vacancy-section"">
				<p>We’re looking for a talented and passionate <strong>Python Developer</strong> who will help build and maintain product features.</p><p>You will help to implement new features, integrate with third-party systems in a secure and reliable way, troubleshoot and resolve complicated and unique issues, and implement performance improvements.<br><br><strong>Project details:</strong> Fintech platform, which helps to automate and simplify the bank investment process.</p><p><strong>Tech Stack: </strong>Python, Django, PostgreSQL, AWS, React.js/Redux, Flutter<br><br><strong>Our Team: </strong>2 Back End devs, 1 Front End dev, 1 Flutter dev, QA, Designer, PM.<br><br><strong>Responsibilities:<br></strong>— following and improving project conventions (architecture approach, code style, best practices)<br>— following and suggest improvements for the existing project processes, methodologies and guidelines<br>— estimation of tasks and functionality and fit with own estimates<br>— creating and updating project documentation (technical and functional)<br>— setup and maintenance of project environments<br>— negotiation / explanation of technical questions and requirements with the clients<br>— participation in technical interview with clients<br>— guide, consult and make advices to team members with delivery of assigned tasks<br>— contribute into employees growth by providing tech feedback and setting tech goals<br>— conduct project related tech interview for external candidates<br>— delivery of assigned tasks:<br>— working closely with other staff, such as project managers, quality engineers, UI/UX designers, business analysts, sales and marketing professionals<br>— following company processes (time log, vacation, internal policies, prescribed in InoXoft Guide)<br>— investigation of new technologies<br>— continuous update of technical knowledge and soft skills by attending in-house and external courses, reading manuals and accessing new applications<br>— providing feedback to colleagues, managers and company<br><br><strong>Requirements:<br></strong>— 2,5+ years of experience with Python and <strong>Django</strong>.<br>— Have experience with ORMs (PostgreSQL).<br>— Experience with Clouds (AWS).<br>— Experience with Unit Tests<br>— Experience with React will be a plus<br>— Develop and implement software solutions that meet project requirements and quality standards, using industry best practices and technologies.<br>— Proactivity, curiosity, and outside the box thinking.<br>— English Upper-intermediate is must.<br><br><strong>Benefits:<br></strong>— Flexible working hours;<br>— 25 paid days off and 10 sick/medical leaves;<br>— Additional paid days off for personal events like marriage and childbirth;<br>— Maternity/Paternity leaves;<br>— Medical insurance;<br>— Discount program;<br>— Self-development budget per year;<br>— Referral bonuses;<br>— Corporate events and gifts;<br>— Learning events and mentorship opportunities;<br>— Speaking Clubs;<br>— PE accounting and support.</p>
			</div>",3-5,"Львів,Вроцлав (Польща),віддалено",,"python,django,react,aws,postgresql",Middle Python Software Engineer
Intellias,"<div class=""b-typo vacancy-section"">
				<p>Let’s breathe life into great tech ideas! With more than 3 000 people globally, Intellias is a company where benchmark technological solutions are born. Join in and take your part in digitalizing the world.</p><h3><b>What project we have for you</b></h3><p>Extract scenes from the real world allowing top automotive companies to simulate their autonomous driving solutions.</p>

<h3><b>What you will do</b></h3><ul><li>Participate in the development, and maintenance of Python applications. </li><li>Troubleshoot and debug applications to resolve issues. </li><li>Write clean, efficient, and self-documented code. </li><li>Implement automation tests. </li><li>Collaborate with team members to identify and solve technical problems. </li><li>Participate in code reviews to ensure code quality and maintainability. </li><li>Work with stakeholders to gather and analyze requirements and provide technical solutions. </li><li>Monitor application performance and provide optimization recommendations. </li><li>Stay up to date with the latest technologies and industry trends. </li></ul>

<h3><b>What you need for this</b></h3><p><b>Required skills:</b></p><ul><li>4+ years of experience working as a Python Engineer or in a similar role. </li><li>Strong proficiency in Python programming and knowledge of object-oriented programming principles. </li><li>Solid understanding of algorithms and data structures. </li><li>Experience with OpenSearch / Elastic Search i.e. Understanding how the index’s works and how the layer are stitched together, also how to create schemas.</li><li>Experience in Prompt Engineering to maintain, enhance or modify the prompts used for AWS Bedrock.</li><li>Proficiency in ETL, protobuf. </li><li>Experience with Amazon Web Services (AWS). </li><li>Experience with API Gateway, Lambda’s, Step-Functions.</li><li>Proficiency in version control systems, particularly Git. </li><li>Knowledge of Agile methodologies, such as Scrum, and experience working in Agile teams. </li><li>Strong problem-solving skills and the ability to debug and optimize code. </li><li>Excellent communication and teamwork skills, with the ability to collaborate effectively with cross-functional teams. </li></ul><p><b>Will be a plus:</b></p><ul><li>Experience with HDLive maps, Open Drive, etc. </li></ul><h3><b>What it’s like to work at Intellias</b></h3><p>At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success.</p>
			</div>",3-5,віддалено,,"python,aws,git,agile",Strong Middle/Senior Python Engineer
SevenPro,"<div class=""b-typo vacancy-section"">
				<p>About you:<br>We are looking for a Full-Stack Developer with a back-end focus to join an impactful project dedicated to enhancing agriculture in developing countries. This role involves developing a mobile application MVP designed to optimize agricultural practices through innovative data collection and phenotyping methods. You will play a crucial part in designing user-friendly interfaces and robust backend systems, ensuring reliable data handling, storage, and processing within resource-constrained environments.<br><br>About project:<br>This project aims to develop a mobile application MVP that will support agriculture by enabling efficient data collection and real-time analysis. Built specifically for developing countries, the app will utilize innovative phenotyping techniques through smartphone-based imagery to monitor and improve agricultural productivity. By capturing and processing visual data, the application provides essential insights that help farmers make data-driven decisions, ultimately improving crop yields and resource use.</p><p>This solution is tailored for resource-constrained environments, ensuring ease of use and scalability. The project holds immense potential to create a positive impact on agricultural sustainability in developing regions.</p><p><br>Your area of responsibility:</p><ul><li>Develop responsive UI components, ensuring a seamless user experience for farmers and stakeholders;</li><li>Build and maintain scalable backend systems for effective data collection and processing;</li><li>Design APIs for integration with various hardware and software components in the agriculture sector;</li><li>Implement data validation and quality control mechanisms to guarantee data integrity and reliability;</li><li>Optimize application performance for low-resource environments and conduct thorough testing for scalability and robustness;</li><li>Conduct regular testing and quality assurance activities to ensure the reliability and robustness of the software solution.</li></ul><p><br>Skills and requirements:</p><ul><li>At least 3+ years of proven experience as a Full Stack Developer or in a similar role;</li><li>Strong experience with Python (3+ years);</li><li>Strong experience with JavaScript (3+ years);</li><li>Experience in at least one major front-end framework, such as React/Angular/Vue.js;</li><li>Strong experience with HTML, CSS;</li><li>Proficiency in API development and integration (Restful API);</li><li>Strong experience with SQL;</li><li>Experience in cloud services (Google Cloud Platform, AWS, or Azure);</li><li>Skilled in end-to-end testing, including unit and integration testing, to ensure software reliability and robustness.</li></ul><p><br>Will be a plus:</p><ul><li>Experience with GCP (Google Cloud Platform) or a strong willingness to learn it;</li><li>Knowledge of machine learning frameworks or computer vision algorithms, especially as they relate to agricultural or environmental data;</li><li>Familiarity with working in resource-constrained environments, optimizing for efficiency and performance in challenging conditions.</li></ul><p>We offer:</p><ul><li>Working in a team of talented and passionate engineers;</li><li>Opportunity to work with the most trending technologies;</li><li>Long-term enjoyable cooperation;</li><li>Personal legal support;</li><li>Payable vacation and sick days;</li><li>Competitive salary depending on your own talents;</li><li>Regular performance &amp; career development reviews;</li><li>Team building events.</li></ul>
			</div>",3-5,"Київ,Харків,віддалено",,"python,javascript,vue,react,aws,scala",Full-Stack Developer (Back-end oriented)
DataRobot,"<div class=""b-typo vacancy-section"">
				<p>DataRobot accelerates the process of building predictive models to get the most out of valuable data. We work hard to create tools that nascent data scientists can use effectively while also exposing the rich detail and control that data science veterans rely on. Our headquarters is in Boston, with offices in Ukraine, Poland, Singapore, and Tokyo. In order to keep up with the demand for new features in DataRobot, we are looking to grow our Backend engineering team with Mid level engineers. The primary responsibilities of this team include developing and supporting new data science tools, designing and supporting our APIs, and instrumenting DataRobot to integrate with enterprise IT infrastructure. Our team leverages modern technologies to achieve our goals and innovate on our solutions. </p><p>Key Responsibilities:</p><ul><li>Develop, test, and support features of DataRobot.</li><li>Create and maintain automated unit tests and functional tests.</li><li>Design infrastructure for new features with the input of peers.</li><li>Manage individual projects and milestones with abundant communication of progress.</li><li>Seek, give, and receive critical feedback in a constructive manner, including but not limited to code reviews.</li><li>Engage in engineering on-call escalated support of services owned by the team </li><li>Competencies should be at a level where a manager can have high confidence in an engineer’s ability to deliver complex solutions on time on an agreed-upon roadmap and manage technical risks. </li><li>Should be capable of working with product management to get requirements and drive technical feedback on complexity/approaches.</li></ul><p>Knowledge, Skills &amp; Abilities:</p><ul><li>3+ years of proven experience writing high-quality code in a collaborative environment preferably using Python and/or Go</li><li>Strong Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem-solving, and complexity analysis.</li><li>An understanding of design for scalability, performance, and reliability.</li><li>Deep experience with automated testing and test-driven development</li><li>Demonstrable knowledge of software architecture for large systems</li><li>Real-world experience decoupling monolithic software into smaller reusable components </li><li>Self-motivated and proactive, able to take ownership and deliver results.</li><li>Ability and willingness to learn about new technologies.</li><li>Personal drive to get things finished.</li><li>Effective communication behavior.</li><li>Fundamental understanding of Kubernetes and Helm. Experience in building and running software systems on Kubernetes clusters in production</li><li>Hands-on experience with infrastructure provisioning and configuration using Infrastructure as Code (IaC) principles</li></ul><p>Nice to have:</p><ul><li>Experience with AWS, Azure, and/or Google Cloud platforms</li><li>CKAD (Certified Kubernetes Application Developer) certification</li><li>Publicly reviewable contributions to interesting development projects.</li><li>Experience supporting user-facing code and APIs.</li><li>Data Science experience</li><li>Identity and Access Management experience</li><li>CI/CD pipeline experience</li></ul>
			</div>",3-5,"Київ,Львів,віддалено",,"python,aws,kubernetes,ci/cd,scala",Backend Engineer
Kauri.One,"<div class=""b-typo vacancy-section"">
				<p>Kauri One is a software development company that creates Fintech-blockchain projects. We implement the entire range of financial instruments for processing fiat and cryptocurrencies in one system. Right now we are looking for a passionate <strong>Python Developer</strong> with fintech experience to join our team.</p><p><strong>Requirements:</strong></p><ul><li>Hands-on experience in fintech</li><li>3+ years of experience in Python</li><li>Django framework strong knowledge</li><li>Understanding the basics of asynchronous programs and building a REST API</li><li>Experience with Fast API</li><li>Working with Celery (creating tasks, understanding retry, countdown, send mechanisms);</li><li>SQL/NoSQL</li><li>Docker, docker-compose, GIT, Unix</li><li>Skills in written tests: End-to-end, Integration, Unit</li><li>Analytical thinking to break down complex problems into manageable components</li><li>Collaboration with other developers, designers, and stakeholders</li><li>Self-motivation to explore new tools and technologies</li><li>Intermediate English and strong communication skills.</li></ul><p><strong>Will be a plus:</strong></p><ul><li>Experience in blockchain services integrations.</li></ul><p><strong>Responsibilities:</strong></p><ul><li>Update and improvement of the existing functionality</li><li>Create new features from scratch</li><li>Integrations with various of payment systems and services</li><li>Writing tests.</li><li>Implementation of innovative blockchain and fintech solutions.</li><li>Code optimizations in security, high-load, etc.</li></ul><p><strong>We offer:</strong></p><ul><li>Worthy compensation based on interview</li><li>Remote company with employees concentrated in Ukraine and Europe (Cyprus)</li><li>Possibility of relocation to Cyprus</li><li>Continuing education and support for select graduate programs</li><li>Working with a team of open-minded specialists with a low hierarchy</li><li>Career development opportunities with professional training programs</li><li>Flexible working hours for your great work-life balance</li><li>Performance evaluations every 6 months</li><li>Full accounting assistance and support</li><li>The company is open to innovations and suggestions from the employees.</li></ul>
			</div>",3-5,за кордоном,,"python,fast api,rest api,async,asynchronous,celery,docker,django,nosql,git",Python Developer (fintech experience)
WebLab Technology,"<div class=""b-typo vacancy-section"">
				<p><b>We are looking for a dynamic Python AI Engineer (Generative NLP, AI Agents, Prompting)</b> with strong experience in Python API development. This is an exceptional opportunity for someone passionate about shaping the future of AI-driven conversational interfaces and eager to work with cutting-edge technologies, including API development and integration of LLM APIs such as those offered by OpenAI.</p><p><b>As a Python AI Engineer,</b> your primary mission will be to design, develop, and deploy AI solutions that integrate into our existing systems. You will have the chance to work on API development as well as prompt-based and API-based solutions, reflecting our commitment to rapid delivery without compromising on innovation.</p><p><strong>About the project:</strong></p><p>A stable enterprise product for creating marketing presentations, preparing accompanying materials, and developing sales cycle business assistants for global pharmaceutical companies such as AstraZeneca, Novartis, Pfizer, Veeva etc., and financial institutions like ING and Van Lanschot. Completely our code base, we have been developing it since 2015.</p><p>Our services are distributed across multiple Availability Zones, adhering to a service-oriented architecture. Since 2018, we have prioritized GraphQL, although we maintain comprehensive support for RESTful APIs. Our core API services are built on a diverse stack of programming languages, each chosen to optimize task performance. This stack includes a rapidly evolving Golang Core API, legacy Core API services in PHP (leveraging frameworks like Laravel and Yii2) for established business logic and data layer interactions, Node.js (utilizing both JavaScript and TypeScript), Python APIs, and .NET Core C# components.</p><p>We utilize a hybrid cloud infrastructure, harnessing the strengths of both AWS and GCP to meet our operational needs, and focus on Serverless. Our work also involves extensive integration with API partners, including Veeva, Salesforce, and a variety of others, to ensure a seamless and robust service ecosystem.</p><p>As a product with high-security requirements, we undergo regular penetration testing from auditors and client companies to ensure compliance with industry standards such as OWASP, SOC, and ISO.</p><p><strong>Key Responsibilities:</strong></p><ul><li>Design, develop, and deploy AI solutions utilizing Python.</li><li>Construct and enhance Chains, AI Agents, and AI Pipelines with tools such as Langchain and LlamaIndex.</li><li>Develop robust APIs leveraging Flask and FastAPI frameworks.</li><li>Develop solutions using Vector Databases.</li><li>Gather, clean, and analyze data to uncover patterns and derive insights.</li><li>Research and apply novel AI techniques and algorithms for continuous improvement.</li><li>Fine-tune LLMs using both manual and automated feedback mechanisms.</li><li>Ensure the reliability and optimal performance of AI services through diligent site reliability engineering.</li><li>Work collaboratively with cross-functional teams to craft impactful AI solutions that drive business growth.</li></ul><p><strong>Qualifications:</strong></p><ul><li>Bachelor’s degree in Computer Science, Artificial Intelligence, or a closely related field.</li><li>Prompt engineering skills.</li><li>High proficiency in at least one of the following programming languages: Python, TypeScript, Golang, or Rust.</li><li>Minimum of 1 year experience in developing AI solutions, preferably with LLMs.</li><li>Strong foundation in Python, with at least 1 year of experience.</li><li>Ability to design, develop, and deploy machine learning models.</li><li>Basic NLP skills, including sentiment analysis, named entity recognition, and part-of-speech tagging.</li><li>Understanding of machine learning principles and algorithms.</li><li>Familiarity with AI frameworks such as TensorFlow, PyTorch, or scikit-learn.</li></ul><p>This position offers the chance to be at the forefront of AI development, working on solutions that leverage the latest advancements in AI technology. If you are driven by innovation, eager to tackle challenging problems, and ready to make a significant impact, we would love to hear from you.</p><p><b>Benefits:</b></p><p><b>In addition to a great base salary, we offer:</b></p><p>1) Funding for conferences, co-working spaces, software licenses, and other work-related expenses</p><p>2) MacBook if you require one</p><p>3) Mobile devices if you are involved with mobile development projects</p><p>4) Flexible working hours and fully remote working without micromanagement</p><p>5) Modern technology stack</p><p>6) Time for open source development</p><p>7) Bonus at the end of the year</p><p>8) Paid study leave</p><p>9) Paid English language courses</p><p>10) **36** company-paid days off per annum</p><p>11) Access to educational streaming services like Pluralsight</p><p>12) Input on the development of the company</p><p><b>Our core values:</b></p><p>We are open-minded, humble, respectful, self-driven, and honest, which allows us to create an atmosphere of synergy. Our team is a great fit for those who value self-organization and are passionate about personal growth. If this resonates with you, we’d love to have you join the team.</p>
			</div>",3-5,віддалено,до 4000,"python,javascript,aws,flask,graphql",Middle Python AI Engineer
Solidgate,"<div class=""b-typo vacancy-section"">
				<p><a href=""https://solidgate.com/"" target=""_blank""><b>Solidgate</b></a> — це платформа для оркестрації та процесингу платежів, що допомагає тисячам компаній приймати платежі онлайн. Ми розробляємо інноваційні фінтех-рішення, щоб забезпечити безперебійну обробку платежів для бізнесів у понад 150 країнах світу, від Європи до ЛАТАМу, від США до Азії. Пишаємось бути частиною історії кожної компанії, з якою працюємо — наша інфраструктура гарантує швидкий скейл на нових ринках та збільшення прибутків.</p><p><b>Про нас:</b> <br>— Офіси в 3х країнах: Україні, Польщі та на Кіпрі<br>— Топовий роботодавець за версією DOU<br>— 190+ людей в команді<br>— 200+ клієнтів з України, Європи та США<br>— Статус Principal Member у Visa та Mastercard<br>— Ліцензія ЕМІ в ЄС</p><p><b>Наші переваги:</b> <br>— FinTech — швидкозростаюча індустрія<br>— Backend-driven продукт зі складними логіками, архітектурою та <strong><a href=""https://solidgate-tech.github.io/"" target=""_blank"">сучасним стеком технологій </a></strong><i><br></i>— складні виклики та прямий вплив кожного члена команди на ріст бізнесу<br>— можливість розвитку та професійного росту — «career plan» є у кожного<br>— команда, яка горить спільною метою, має спільне бачення та цінності<br><br>Крім того, <b>ми забезпечуємо швидкі донати для української армії</b>! Команда Solidgate створила<a href=""https://ain.ua/2022/07/29/charity-payment-link/"" target=""_blank""> <b>Payment Link</b></a>, завдяки якому БО та фонди можуть приймати платежі за лічені хвилини у будь-якій валюті. Пишаємося партнерствами з благодійними організаціями, серед яких<a href=""https://www.koloua.com/"" target=""_blank""><b> KOLO</b></a><b> та</b><a href=""https://savelife.in.ua/"" target=""_blank""><b> «Повернись живим»</b></a><b>.</b></p><p>Зараз ми шукаємо амбітного<b> </b><strong>Python Engineer </strong>в команду <strong>Integrations</strong>, що повністю відповідає за весь процесинг платежів та інтеграцію з банками. Ти будеш одним з перших інженерів, які будуть впроваджувати Python як повноцінний BE стек в компанії.<br><br><b>Чим ти будеш займатись:</b></p><ul><li>Працювати над інтеграціями з банками та платіжними провайдерами;</li><li>Розбиратись із сервісами платіжних провайдерів наряду з такими гігантами як Visa, Mastercard та Paypal;</li><li>Допомогати в розробці платформених та інтеграційних платформених компонентів: logging, metrics, service template, kafka, psp common, etc.;</li><li>Писати тести різного рівня з використанням підходу Shift Left testing;</li><li>Працювати над метриками з Buf(gRPC)/REST, VictoriaMetrics, Loki, Terraform, etc.</li></ul><p><b>Отже, що потрібно, аби приєднатися до нас:</b></p><ul><li>3+ роки досвіду в розробці комерційного софту на Python (not Django);</li><li>досвід з Flask/FastApi/AIOHTTP;</li><li>покриття коду тестами для тебе це must;</li><li>досвід побудови високонавантажених систем;</li><li>досвід роботи з реляційними базами даних PostgreSQL або MySQL;</li><li>досвід роботи з message brokers: RabbitMQ/Kafka/Nats;</li><li>ініціативність та вміння приймати рішення;</li><li>проактивність і націленість на результат;</li><li>високий рівень самоорганізації та самонавчання.</li></ul><p><b>Круто, якщо ти маєш:</b></p><ul><li>досвід роботи у фінтех чи фінансовій сфері;</li><li>пет проєкти на Go/Kotlin/Java/Node.js;</li><li>досвід з Docker, K8S;</li><li>досвід з сервісами Amazon.</li></ul><p><b>Наші корпоративні бенефіти:</b> <br>— медичне страхування та корпоративний лікар<br>— понад 30 дей оффів протягом року (20 робочих днів відпустки + вихідні на державні свята)<br>— безкоштовні снеки, сніданки та обіди в офісі<br>— професійне навчання (курси, тренінги, конференції, сертифікації)<br>— щорічне performance review<br>— компенсація спорту/клуби за інтересами<br>— конкурентна оплата праці<br>— сучасна техніка Apple</p><p><b>Хочеш стати частиною команди?</b> <br>Тоді відкинь усі сумніви та сміливо натискай «<b>відгукнутися на вакансію</b>» 😉</p><p><b>Ми завжди відкриті до рекомендацій талановитих людей!</b></p><p>Тож якщо ти хочеш порекомендувати свого знайомого на одну з наших вакансій — це можна зробити <a href=""https://form.jotform.com/242773079524362"" target=""_blank""><b>тут</b></a>. У випадку успішного найму — віддячимо бонусом!</p>
			</div>",3-5,Київ,,"python,rabbitmq,aiohttp,kafka,docker,django,flask,postgresql,git,mysql",Middle Python Engineer
HYS Enterprise,"<div class=""b-typo vacancy-section"">
				<p><b>Requirements:<br></b>— Experience in developing applications using LLM (Large Language Models);<br>— 3+ years of Python experience;<br>— Proficiency with FastAPI for creating asynchronous APIs;<br>— Proficiency with popular libraries such as Hugging Face Transformers, LangChain, OpenAI API, Torch, and Haystack;<br>— Experience in building applications based on RAG;<br>— Knowledge and experience with databases: PostgreSQL and Redis;<br>— Basic DevOps knowledge for deploying and monitoring applications;<br>— Experience with Docker or Podman for containerization;<br>— Familiarity with Git and CI/CD;<br>— Intermediate level of English;<br>— Proficiency in building unit tests.<br><br><b>Would be a plus:<br></b>— Familiarity with Pinecone, Weaviate, Faiss, or similar solutions for storing and retrieving vector data;<br>— Hands-on experience with spaCy, NLTK, and Gensim for tokenization, sentiment analysis, and text processing;<br>— Mentoring junior developers experience.<br><br><strong>About the project:</strong> <br>Epicflow is an advanced, web-based project management solution tailored for multi-project management. By focusing on resource availability, Epicflow optimizes workflow efficiency. The tool enhances the capabilities of widely used platforms, including MS Project, Jira, TOPdesk, Primavera, and Trimergo, taking project management to the next level.<br><br><strong>We offer:</strong> <br>— Monday-Friday, 9—18/10—19 working schedule;<br>— Work from office/remote/mix;<br>— Medical insurance;<br>— No time trackers and other manifestations of bureaucracy;<br>— Paid days off and sick days;<br>— Gifts for birthdays and professional holidays;<br>— The ability to test your ideas, lead initiatives, and try something new and interesting;<br>— Communication with experienced specialists willing to share their knowledge;<br>— Participation in internal and external events, the opportunity to build or promote your brand.</p>
			</div>",3-5,"Одеса,Бидгощ (Польща),віддалено",,"python,async,asynchronous,redis,docker,postgresql,ci/cd,git",Middle Python developer with NLP experience
Binariks,"<div class=""b-typo vacancy-section"">
				<p>We are looking for a Strong Middle Python Engineer to join our team. <br>The project is a virtual fertility clinic. They make fertility care convenient, affordable, and accessible, with 80% of the treatment done from the comfort of the patient’s home or with a local doctor.<br><br><strong>What We’re Looking For:</strong></p><ul><li>At least 3 years of commercial experience with Python</li><li>Proficiency in Django framework</li><li>Experience with AWS</li><li>Strong understanding of relational databases (preferably PostgreSQL)</li><li>Familiarity with ControlPanel and GitHub</li><li>Upper-Intermediate English level</li></ul><p><strong>Your Responsibilities:</strong></p><ul><li>Develop and maintain the backend of the platform using Django</li><li>Collaborate with cross-functional team to design and implement new features</li><li>Optimize application performance and troubleshoot issues</li><li>Ensure security and data privacy compliance, especially regarding sensitive medical data</li><li>Ensure code quality through unit testing and code reviews</li><li>Work within a Waterfall development environment</li></ul><p><strong>Will Be a Plus:</strong></p><ul><li>Experience in healthcare-related projects</li><li>Experience working in small teams or startup environment</li></ul>
			</div>",3-5,"Львів,віддалено",,"python,django,aws,postgresql,git",Middle Strong Python Engineer
Vector Software,"<div class=""b-typo vacancy-section"">
				<p>Our project has over the last year developed a dashboarding system on our drilling rigs where we present data from the different historians on the rig. We use OPC-UA to communicate with historians and we use Python Dash to build apps for dashboarding.</p><p><strong>Technology stack: </strong>Python, JavaScript, React, HTML5, and CSS3</p><p><b>IN THIS ROLE YOU WILL</b><b>:</b></p><ul><li>Development and configuration of solution components</li><li>Implementation of tasks related to solution backend and front-end</li><li>Participation in Sprint planning, backlog reviews, and daily stand-up sessions</li><li>Close cooperation with product owners, usability experts and project team members</li><li>Code review and complete all assigned tasks in a timely and professional manner</li><li>Perform other related duties as required</li></ul><p><b>WHAT YOU BRING ALONG:</b></p><ul><li>Minimum of 3 years of professional experience in Python development</li><li>Proficiency with Python and frameworks such as Dash, Flask, and Django</li><li>Solid understanding of front-end technologies: JavaScript, React, HTML5, and CSS3</li><li>Experience with Redis and MSSQL databases</li><li>Familiarity with version control systems like Git</li><li>Strong problem-solving skills and attention to detail</li><li>Ability to work both independently and collaboratively in a team environment</li><li>Intermediate level of English or above.</li></ul><p><strong>WOULD BE A PLUS:</strong></p><ul><li>Experience with Azure DevOps</li><li>Knowledge of CI/CD pipelines and deployment strategies</li><li>Familiarity with containerization tools like Docker</li><li>Understanding of Agile methodologies.</li></ul><p><b>WHAT WE OFFER:</b></p><p><strong>Professional development:</strong></p><ul><li>Highly experienced professional community</li><li>Personal development plan and regular Performance Appraisal</li><li>Transparent rotation process with an opportunity to switch between different roles, projects, or technology stack</li><li>Attendance of professional conferences, meetups, and certifications (coverage upon business needs)</li><li>Internal training programs, free SmartTalks, and TechTalks inside the company</li><li>Corporate English classes</li></ul><p><strong>Well-being:</strong></p><ul><li>Flexible schedule and possibility to work remotely: feel free to choose an option upon your preferences</li><li>Paid vacation annually</li><li>Paid sick leaves annually</li><li>Health insurance</li></ul><p><strong>CANDIDATE’S JOURNEY MAP:</strong></p><p>Candidates application ---&gt; <nobr>CV-based</nobr> Interview with Recruiter ---&gt; Hiring Manager Interview ---&gt; Technical Interview ---&gt; Job offer ---&gt; Welcoming in Vector Software</p><p><strong>OUR CULTURE:<br></strong> <br>People come to People to Create Impact Success Fun.<br>We are successful, prosperous, and happy professionals who are providing meaningful and impactful software development services to make our partners as successful and happy as we are.</p>
			</div>",3-5,"Львів,віддалено",,"python,redis,docker,django,javascript,react,flask,ci/cd,git,agile",Middle Python Engineer
